candidate_id,epoch,mjd,candidate_ra,candidate_dec,catalogue,matched_object,object_type,matched_ra,matched_dec,separation_arcsec,match_status,notes
3EPOCH-004,A,60804.58166331,155.87025563989727,-44.22316218656735,SIMBAD,,,,,,NO_MATCH,"No SIMBAD object within 8.0"""
3EPOCH-004,A,60804.58166331,155.87025563989727,-44.22316218656735,SkyBoT (IMCCE),,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='ssp.imcce.fr', port=443): Max retries exceeded with url: /webservices/skybot/api/conesearch.php?-ra=155.53526111642586&-dec=-42.9632336981278&-rd=0.005555555555555556&-ep=2460805.08166331&-loc=500&-filter=120.0&-objFilter=111&-refsys=EQJ2000&-output=all&-mime=votable (Caused by ConnectTimeoutError(<HTTPSConnection(host='ssp.imcce.fr', port=443) at 0x22378784e10>, 'Connection to ssp.imcce.fr timed out. (connect timeout=300)')). Not re-attempted per candidate/epoch to avoid repeated long timeouts against an already-confirmed-down host."
3EPOCH-004,A,60804.58166331,155.87025563989727,-44.22316218656735,MPC Checker,,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='minorplanetcenter.net', port=443): Max retries exceeded with url: /cgi-bin/checkmp.cgi (Caused by ConnectTimeoutError(<HTTPSConnection(host='minorplanetcenter.net', port=443) at 0x22378784690>, 'Connection to minorplanetcenter.net timed out. (connect timeout=15)')). Not re-attempted per candidate/epoch (no working reverse position-search endpoint available via astroquery for MPC; would require the raw web form, also unreachable)."
3EPOCH-004,A,60804.58166331,155.87025563989727,-44.22316218656735,JPL Horizons,,,158.27436,-12.82092,113291.30868719873,NO_MATCH,"Checked against 19 named major planets/dwarf planets/TNOs only, NOT the full minor-planet catalogue (nearest body: Orcus, 113291.3"")"
3EPOCH-004,C,60822.30895912,155.87091209247012,-44.23429985352987,Gaia DR3,Gaia DR3 5415633222559688064,star (Gaia point source),155.87158307406074,-44.23486137396705,2.6611455013013146,MATCH,"Static catalogue; search radius 8.0""; 'known' radius 4.0"""
3EPOCH-004,C,60822.30895912,155.87091209247012,-44.23429985352987,SIMBAD,,,,,,NO_MATCH,"No SIMBAD object within 8.0"""
3EPOCH-004,C,60822.30895912,155.87091209247012,-44.23429985352987,SkyBoT (IMCCE),,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='ssp.imcce.fr', port=443): Max retries exceeded with url: /webservices/skybot/api/conesearch.php?-ra=155.53526111642586&-dec=-42.9632336981278&-rd=0.005555555555555556&-ep=2460805.08166331&-loc=500&-filter=120.0&-objFilter=111&-refsys=EQJ2000&-output=all&-mime=votable (Caused by ConnectTimeoutError(<HTTPSConnection(host='ssp.imcce.fr', port=443) at 0x22378784e10>, 'Connection to ssp.imcce.fr timed out. (connect timeout=300)')). Not re-attempted per candidate/epoch to avoid repeated long timeouts against an already-confirmed-down host."
3EPOCH-004,C,60822.30895912,155.87091209247012,-44.23429985352987,MPC Checker,,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='minorplanetcenter.net', port=443): Max retries exceeded with url: /cgi-bin/checkmp.cgi (Caused by ConnectTimeoutError(<HTTPSConnection(host='minorplanetcenter.net', port=443) at 0x22378784690>, 'Connection to minorplanetcenter.net timed out. (connect timeout=15)')). Not re-attempted per candidate/epoch (no working reverse position-search endpoint available via astroquery for MPC; would require the raw web form, also unreachable)."
3EPOCH-004,C,60822.30895912,155.87091209247012,-44.23429985352987,JPL Horizons,,,158.25793,-12.68922,113801.18952283208,NO_MATCH,"Checked against 19 named major planets/dwarf planets/TNOs only, NOT the full minor-planet catalogue (nearest body: Orcus, 113801.2"")"
3EPOCH-004,B,60835.420874722,155.87088997672618,-44.24294988350937,Gaia DR3,Gaia DR3 5415633188198500992,star (Gaia point source),155.8708471741035,-44.24318440208833,0.8514528694121212,MATCH,"Static catalogue; search radius 8.0""; 'known' radius 4.0"""
3EPOCH-004,B,60835.420874722,155.87088997672618,-44.24294988350937,SIMBAD,,,,,,NO_MATCH,"No SIMBAD object within 8.0"""
3EPOCH-004,B,60835.420874722,155.87088997672618,-44.24294988350937,SkyBoT (IMCCE),,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='ssp.imcce.fr', port=443): Max retries exceeded with url: /webservices/skybot/api/conesearch.php?-ra=155.53526111642586&-dec=-42.9632336981278&-rd=0.005555555555555556&-ep=2460805.08166331&-loc=500&-filter=120.0&-objFilter=111&-refsys=EQJ2000&-output=all&-mime=votable (Caused by ConnectTimeoutError(<HTTPSConnection(host='ssp.imcce.fr', port=443) at 0x22378784e10>, 'Connection to ssp.imcce.fr timed out. (connect timeout=300)')). Not re-attempted per candidate/epoch to avoid repeated long timeouts against an already-confirmed-down host."
3EPOCH-004,B,60835.420874722,155.87088997672618,-44.24294988350937,MPC Checker,,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='minorplanetcenter.net', port=443): Max retries exceeded with url: /cgi-bin/checkmp.cgi (Caused by ConnectTimeoutError(<HTTPSConnection(host='minorplanetcenter.net', port=443) at 0x22378784690>, 'Connection to minorplanetcenter.net timed out. (connect timeout=15)')). Not re-attempted per candidate/epoch (no working reverse position-search endpoint available via astroquery for MPC; would require the raw web form, also unreachable)."
3EPOCH-004,B,60835.420874722,155.87088997672618,-44.24294988350937,JPL Horizons,,,158.31182,-12.61556,114107.86023647245,NO_MATCH,"Checked against 19 named major planets/dwarf planets/TNOs only, NOT the full minor-planet catalogue (nearest body: Orcus, 114107.9"")"
3EPOCH-003,A,60804.58166331,155.87275501351874,-43.336724313859605,Gaia DR3,Gaia DR3 5415805674084266752,star (Gaia point source),155.87217802879988,-43.33673256532474,1.5110680549176332,MATCH,"Static catalogue; search radius 8.0""; 'known' radius 4.0"""
3EPOCH-003,A,60804.58166331,155.87275501351874,-43.336724313859605,SIMBAD,,,,,,NO_MATCH,"No SIMBAD object within 8.0"""
3EPOCH-003,A,60804.58166331,155.87275501351874,-43.336724313859605,SkyBoT (IMCCE),,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='ssp.imcce.fr', port=443): Max retries exceeded with url: /webservices/skybot/api/conesearch.php?-ra=155.53526111642586&-dec=-42.9632336981278&-rd=0.005555555555555556&-ep=2460805.08166331&-loc=500&-filter=120.0&-objFilter=111&-refsys=EQJ2000&-output=all&-mime=votable (Caused by ConnectTimeoutError(<HTTPSConnection(host='ssp.imcce.fr', port=443) at 0x22378784e10>, 'Connection to ssp.imcce.fr timed out. (connect timeout=300)')). Not re-attempted per candidate/epoch to avoid repeated long timeouts against an already-confirmed-down host."
3EPOCH-003,A,60804.58166331,155.87275501351874,-43.336724313859605,MPC Checker,,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='minorplanetcenter.net', port=443): Max retries exceeded with url: /cgi-bin/checkmp.cgi (Caused by ConnectTimeoutError(<HTTPSConnection(host='minorplanetcenter.net', port=443) at 0x22378784690>, 'Connection to minorplanetcenter.net timed out. (connect timeout=15)')). Not re-attempted per candidate/epoch (no working reverse position-search endpoint available via astroquery for MPC; would require the raw web form, also unreachable)."
3EPOCH-003,A,60804.58166331,155.87275501351874,-43.336724313859605,JPL Horizons,,,158.27436,-12.82092,110109.67075549615,NO_MATCH,"Checked against 19 named major planets/dwarf planets/TNOs only, NOT the full minor-planet catalogue (nearest body: Orcus, 110109.7"")"
3EPOCH-003,C,60822.30895912,155.8804275832888,-43.32045052731959,Gaia DR3,Gaia DR3 5415805708444008448,star (Gaia point source),155.8808680723592,-43.320322841908244,1.2418882499378594,MATCH,"Static catalogue; search radius 8.0""; 'known' radius 4.0"""
3EPOCH-003,C,60822.30895912,155.8804275832888,-43.32045052731959,SIMBAD,,,,,,NO_MATCH,"No SIMBAD object within 8.0"""
3EPOCH-003,C,60822.30895912,155.8804275832888,-43.32045052731959,SkyBoT (IMCCE),,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='ssp.imcce.fr', port=443): Max retries exceeded with url: /webservices/skybot/api/conesearch.php?-ra=155.53526111642586&-dec=-42.9632336981278&-rd=0.005555555555555556&-ep=2460805.08166331&-loc=500&-filter=120.0&-objFilter=111&-refsys=EQJ2000&-output=all&-mime=votable (Caused by ConnectTimeoutError(<HTTPSConnection(host='ssp.imcce.fr', port=443) at 0x22378784e10>, 'Connection to ssp.imcce.fr timed out. (connect timeout=300)')). Not re-attempted per candidate/epoch to avoid repeated long timeouts against an already-confirmed-down host."
3EPOCH-003,C,60822.30895912,155.8804275832888,-43.32045052731959,MPC Checker,,,,,,SERVICE_UNAVAILABLE,"Connectivity pre-test failed for this run: ConnectTimeout: HTTPSConnectionPool(host='minorplanetcenter.net', port=443): Max retries exceeded with url: /cgi-bin/checkmp.cgi (Caused by ConnectTimeoutError(<HTTPSConnection(host='minorplanetcenter.net', port=443) at 0x22378784690>, 'Connection to minorplanetcenter.net timed out. (connect timeout=15)')). Not re-attempted per candidate/epoch (no working reverse position-search endpoint available via astroquery for MPC; would require the raw web form, also unreachable)."
3EPOCH-003,C,60822.30895912,155.8804275832888,-43.32045052731959,JPL Horizons,,,158.25793,-12.68922,110519.51587548874,NO_MATCH,"Checked against 19 named major planets/dwarf planets/TNOs only, NOT the full minor-planet catalogue (nearest body: Orcus, 110519.5"")"
