epoch,id,ra,dec,x,y,flux,stationary,blend_fragment
A,1,154.63091097826418,-40.113874556556915,13.834809037522918,0.06621295495577804,2.4292394777678217,True,False
A,2,154.8721594871193,-40.22281394674577,139.85986559601818,-0.013710407393720104,0.36589197962025183,False,False
A,3,155.19992445950328,-40.3703422235531,310.64518195028825,0.02422632461329499,22.425599942614785,True,False
A,4,155.28315820277217,-40.40770839129496,353.93142162576197,0.05577979674618662,5.490028585091498,False,False
A,5,155.39515453108925,-40.458065928581895,412.1621574345628,0.18391765673568672,3.5638814812955077,False,False
A,6,155.59676667119706,-40.54778241773565,516.6160376089679,0.0723510095121615,0.9873290945675732,True,False
A,7,156.1530356600926,-40.794752987235405,803.9390805504637,0.35731764154824985,4.4233558709754,True,False
A,8,156.31934015116946,-40.86743206129747,889.3065311918597,0.10630369533855928,1.4138863015930698,False,False
A,9,156.38660774539682,-40.89723295214242,923.9207224960646,0.2425878514602234,1.4778227052224246,True,False
A,10,156.64378252637243,-41.010369260373224,1055.8846090240204,0.5331581719202525,12.168518166566383,True,False
A,11,156.94762939795004,-41.14168195036989,1210.8405109092546,0.03472436676589979,1.390488268181272,False,True
A,12,157.01482568123512,-41.17094717428129,1245.1254013291743,0.09130533402664347,1.117112495151518,False,False
A,13,157.05151165511558,-41.18672204674154,1263.781027979727,0.02703015176684399,1.65645818372899,False,False
A,14,157.1059258122888,-41.2103158357813,1291.4960153043162,0.04182698720877062,1.1660734391295622,False,True
A,15,157.21861505232005,-41.259595494435416,1348.9705975460602,0.32498269466894225,2.2825450213076204,False,False
A,16,157.3056501463147,-41.29674941307795,1393.0821930394868,0.11795530661654645,2.7871915446151365,True,False
A,17,157.38612493411307,-41.33185465174539,1434.0468310084407,0.3380271139825134,6.089272461104443,False,False
A,18,157.6069957001531,-41.42767142722227,1546.2057882312251,0.8105137317172789,9.460985498566695,False,False
A,19,157.6243219266312,-41.43432604197767,1554.7650113607401,0.4166310903644821,9.494803273621685,False,True
A,20,157.91834979311872,-41.55927623139142,1703.0661022129138,0.056900630656404265,0.7580183352749915,False,True
A,21,157.96866779927151,-41.580853944473304,1728.4636382754577,0.1310990745984933,5.458912408679079,True,False
A,22,157.99479558666377,-41.59217416373938,1741.6781982908738,0.2330459406988196,0.7306721128172002,False,False
A,23,158.0222333054914,-41.60372809870622,1755.463807348474,0.1727022107004931,1.7737869766852055,True,False
A,24,158.08100444113248,-41.62851666763629,1784.9932182135599,0.07463851908366452,1.432053007912161,False,False
A,25,158.33207683360988,-41.73557987466711,1911.298132942649,0.4152090060457069,1.0978457673554192,False,False
A,26,158.43965312891785,-41.78043882741561,1965.0723803879398,0.12405119174844999,19.087349991197424,True,False
A,27,154.7066612683582,-40.14971010893109,53.896834015742854,0.8391666579035574,0.9339616284838685,False,False
A,28,154.78016312461574,-40.18328589654836,92.4055157937058,1.007247095063995,3.2434557196297855,True,False
A,29,154.97517936478647,-40.270983902198395,194.09420795997775,0.8612899983383921,1.5617134663123062,False,False
A,30,155.11548779407744,-40.33375471201026,267.08798117607444,0.6895927988998253,8.421318905771466,True,False
A,31,155.2579871731799,-40.39898349958353,341.57860820590025,1.3478906128334236,4.842727398049542,True,False
A,32,155.2727014149659,-40.40492014833399,349.03850665717397,1.0160123696606311,9.039481910916267,False,True
A,33,155.67454359679942,-40.583353811801885,557.1468616057306,0.5621436392428547,6.901790611425868,True,False
A,34,155.72523177073543,-40.60671247213867,583.5994421794334,0.984532469617806,9.085610559420557,True,False
A,35,155.74332268760236,-40.61441193731557,592.8585160527008,0.8145217003441205,5.290500585558632,False,False
A,36,155.8346309622895,-40.65532703167825,640.1531267051714,1.0196815246318232,2.1923005236836595,True,False
A,37,156.65957712179943,-41.018956992307054,1064.4328262928782,1.3940595133791076,3.45009964940493,True,False
A,38,156.8365102081289,-41.09641240542224,1154.9649116024293,1.573311905355661,2.155162485534083,False,True
A,39,156.97758174031608,-41.15646798542506,1226.600219499649,0.9442716291526356,0.9586825108367805,False,True
A,40,157.02974131146158,-41.180448840135796,1253.5527201033951,1.6371838012847877,21.047985186862515,True,False
