track_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,C_gate_arcsec,motion_significance_chi2,flux_A,flux_C,flux_B,A_class,C_class,B_class,A_counterpart_epochs,C_counterpart_epochs,B_counterpart_epochs,passes_fixed_4arcsec_C_gate,rejection_reason,rejection_detail
REJ-0327,10178,7388,10971,157.0382608601251,-42.56106950056817,157.0291597079494,-42.57128562324142,157.02324684688307,-42.57988751574873,78.57366609781184,2.5478493936858055,2.4977176620578154,3.418211233462373,9560.89184425316,2.2947116259308005,1.5231112058283702,1.8422209558879838,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0328,18488,15887,19465,155.51217712576963,-42.90078631778733,155.51415457436585,-42.90135259571235,155.51411759361397,-42.90127054949269,5.406004803800703,0.17529646694199175,2.498377265723877,2.4488177712865578,48.266752270909535,2.035102935519702,1.7221466806761483,2.3958392066034864,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0329,29577,27281,31019,155.71324301853693,-44.21792658437995,155.7146290246648,-44.21905887543451,155.71485373512334,-44.21883386652803,5.285693744736286,0.1713952303812669,2.498738443512217,2.141775327309287,55.74478575056932,205.45230612108384,183.88511483257122,187.33176900062344,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0330,25537,23237,26960,156.2233867096028,-44.003996141121526,156.20759313985823,-44.00552021546785,156.19436288206302,-44.00711578020597,75.98824478700445,2.464013874149745,2.5004582685936074,3.2414892978646708,10600.976386903803,5.13301522192537,3.923818215430078,4.018596602007491,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0331,28014,25602,29220,155.80320388044083,-44.09053006331142,155.8156350651886,-44.08602535574105,155.82649323951406,-44.08250986897238,66.7862283742238,2.1656269831931207,2.5017075343664783,3.1846647238495223,6907.457282408514,2.1089576737445097,0.9879445368639413,1.9583500881757394,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0332,33124,30759,34416,154.07528178598855,-43.87576086130417,154.08472656405885,-43.863871607747726,154.0900463410931,-43.85521609146729,83.29928060292369,2.7010833542426917,2.502118794001433,3.426248963792937,11459.818102541834,3.737559156134424,3.624362961518151,2.7449519482168476,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0333,21380,18841,22481,155.37289389450603,-43.171805055919165,155.37364691941005,-43.17321765522214,155.3732911448121,-43.17324600497628,5.291226097033856,0.17157462382371455,2.514385019636192,2.245230882379531,48.6832022462052,3.609763787769647,7.271153279971761,7.617262297597022,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0334,15524,12844,16466,153.97456149825476,-41.86275338617277,153.9544928101584,-41.86077341744218,153.93819817523408,-41.8587518237447,98.55468133570643,3.1957588026183523,2.5158852246687164,3.7251053568574943,16041.675942398086,3.6071571564642877,5.533796765963376,3.9880979026066554,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0335,20157,17564,21166,157.19315185828788,-43.81492087170825,157.21128681590068,-43.818713464592584,157.22372016529414,-43.8225095203486,83.97018887007707,2.722838393896278,2.5191585678935837,3.4409565799080926,11645.160614917613,3.174644345576236,3.7923444664172545,3.207009460310241,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0336,27047,24719,28388,155.02249761225235,-43.64467682572512,155.02379612367608,-43.64644914034469,155.02422756116127,-43.64660409179485,8.273291780947938,0.2682718332326991,2.519823996272615,2.331752253166116,119.02088644162454,2.3529061993667097,3.674028419460412,4.114528665041232,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
