id,ra,dec,x,y,flux
1,154.8122906106137,-40.191521480685175,101.82399917927451,-0.16140916109015302,0.016787319720667264
2,155.52918999151376,-40.513744760255996,474.95077771943005,0.1149579501325655,0.6205220679844813
3,155.85701185949233,-40.65928214182432,644.4910865272658,0.04285104639591194,21.546743259324366
4,156.78447526830578,-41.06763175909515,1121.1692340162856,0.5495847600791146,2.0405703673473967
5,157.3436705510753,-41.309982463680434,1405.9999952459798,0.6334858845275902,734.7975431625366
6,157.45142192652239,-41.354957598012966,1460.2842169427454,-0.07875399617128974,2.254416950569146
7,155.10586041727078,-40.32591795975704,255.522477470515,0.9298665560646303,0.24614553326568026
8,155.16340331655562,-40.35119978946666,285.3117289992928,0.6487993088520203,0.269263622995233
9,155.5698294582522,-40.53186633676801,496.0105625257683,0.12194419647133892,0.2897873907104443
10,156.222962371319,-40.82249161641155,833.5203536936848,0.872742236314318,6.004615588885173
11,154.63080700260164,-40.11387742014736,8.244693601223476,2.096612940119339,1.8145137367301933
12,154.83652882923533,-40.207834108192756,116.02938863820782,2.5545682633567455,-0.4896168962557152
13,155.59738560811581,-40.54749498256003,511.2331283568663,1.8251513289165768,0.6182347570925717
14,155.65346898309704,-40.5727029121405,540.336879182663,1.9542463113116388,0.631923051367191
15,156.1527934153247,-40.794836271180166,798.3275890567609,2.5187721159373413,4.154979080689373
16,156.3864449741383,-40.89705273692024,918.2688001428742,2.26403975712091,0.6440110395618726
17,156.46900471133188,-40.93284958462605,960.5146656369016,2.065421879044561,2.0453412639661535
19,157.30634180631986,-41.2967353329971,1387.8158188761902,2.0810627627402636,2.8315377366205845
20,157.9187867650716,-41.55803840250939,1697.3757237945288,1.476968368063456,0.19293215683712117
21,158.43994677288183,-41.780413810791984,1959.647453286549,2.209912628209107,20.70631330997915
25,155.8347071105801,-40.65510106142944,634.5771767157072,2.937199195396468,2.219457085775988
28,157.35845986249376,-41.320235585458796,1414.5555338500853,2.6129612449346036,0.7707345917701902
29,158.33377920081637,-41.73814632134269,1907.104633016087,3.5190006954730557,0.06443243119068717
30,158.42379448928207,-41.77440343156509,1951.7663674692078,2.6209574910518816,-0.5439420886704188
33,156.1222977530254,-40.785166930044795,783.6846425749723,4.433933202481071,2.1417536561810717
34,156.6165172230414,-41.00236894232374,1037.469899881961,4.6096063544530335,0.5197707251014383
36,157.2255120977242,-41.265250127052965,1347.6687600078417,3.8072363988913995,2.379654104832086
37,158.1977262614335,-41.68149119961008,1839.0551435409564,3.9920682691940814,0.1932134997327036
38,154.78925662094352,-40.19228559609076,93.01859035118157,5.490268431274073,3.4511200520502125
39,155.3026810557444,-40.422736718434415,360.32132432892035,5.267460888815041,3.299297327309348
41,155.95406066125236,-40.71211116593808,697.3450879082108,5.054995985864597,1.4983885892969009
43,156.5463927770023,-40.971956800600374,1001.6261304011355,4.729155732368972,2.8722328307317766
44,156.93131594917816,-41.13994624762148,1198.4474085671309,4.862000678533051,0.767660791450826
45,157.87709178448006,-41.545902415441695,1677.8519227162594,4.354838958629428,14.641302908753328
46,158.04368818905294,-41.61834020461761,1762.1872658329683,5.128254349770637,0.37918732474740535
47,155.5391053068311,-40.529747984247656,483.3730494091199,5.989058596992908,17.069983207692378
48,156.51930385400792,-40.96289232629207,988.5168425743447,6.1456044702682835,1.5499322659787365
49,156.67549279669828,-41.030451278529924,1068.2909737978825,5.7996172052622255,159.94092528547455
52,158.28443882384278,-41.72120329207002,1883.382483105404,5.5235509113055015,-1.5879775479137006
53,155.85620620738948,-40.6726818280917,647.9438746224934,7.025197596921553,3.4630103413919135
54,155.89460170220653,-40.68912025281177,667.6026651799145,6.7385627499008285,0.8736057915434589
59,158.08456453180776,-41.640611973085036,1784.053115927321,7.633961302803998,0.7423703648610168
61,154.84535773181037,-40.222832887168465,123.81477088240844,8.127599219769976,1.3892450713845412
65,157.07735066443342,-41.21189172913058,1275.2114254361065,9.257985943932022,8.408704899497081
66,158.23905321605875,-41.71023590347957,1862.772282199105,9.735932217435693,0.5157229738361362
67,155.23848902752636,-40.40398429529517,329.8213030388562,10.331538378503836,21.830873433455803
70,155.73627748307945,-40.62787160573039,588.3524295877099,11.27560583745182,0.42676179045232854
71,155.75704001627588,-40.63530893445948,598.5812980742058,10.373109522589925,4.000783544109318
72,156.0271271386386,-40.7569595721649,738.527919709194,11.433046291382995,0.7854890997570834
73,156.92272706894175,-41.14828781404556,1197.3670896075257,11.007736378017224,9.108662278177635
74,157.13633316495753,-41.241352720804315,1306.2974824220203,11.264951492617747,0.7350395480379526
78,158.170774042416,-41.6848603754495,1829.418118938203,11.551690302920239,-0.19553688224988786
79,154.87093931733907,-40.24463312731946,140.12124814361837,13.31795317172555,-0.7205445684537658
80,155.18553581881858,-40.38573033769522,303.86143788839246,13.109885153012105,1.1101235697070642
82,156.90291323531898,-41.14354337758743,1188.3177545322071,12.972996255292387,-0.7143515223432345
83,157.5007192513526,-41.40168452492964,1492.1424219779421,12.948249429028506,-0.016693061975596023
85,156.74751269545766,-41.07799786949725,1109.549684609832,14.017115038709047,-0.25026423979099766
86,157.3850943351306,-41.35507217839281,1434.378345207489,14.526979738019058,3.377143233309361
90,154.84415783028703,-40.23529137234978,126.93747790695167,14.70573943084641,-0.7233378554772605
91,157.47227747970308,-41.39362504405001,1478.854873615427,15.068521406430808,-0.11023285229820323
92,157.5639493814775,-41.432714544520664,1525.1995417772184,14.933809121450345,10.977340791505615
93,157.98880547415422,-41.614075015143364,1739.6173319967538,14.869760546201457,7.290299530004459
94,156.0390113897692,-40.77168300634536,747.3023779092159,16.245118179084248,3.1632305353886316
95,156.1672229775827,-40.82871310942418,813.4295379246538,16.499252592649842,4.165847280493645
96,156.36652277204198,-40.91495131949065,915.4350455686155,15.80491846448418,3.75479788454543
97,156.4656483932415,-40.959548744072386,966.590192374518,16.388131917115704,1.3559874541449435
99,156.7977103661353,-41.10409630318441,1136.3537876087134,16.175795930712688,0.7161186612955791
102,155.01119752946624,-40.31493992812619,215.28701880063343,16.920520734321002,0.7136031053017834
103,155.37581460223367,-40.47774904017022,404.6420448891168,16.56997846488986,0.6800422910967359
104,156.1945650141111,-40.842839220679856,828.0714809875659,17.560138827646618,0.6838341208157909
105,156.2884362109897,-40.88349198523589,876.1327240468482,17.24085901400156,0.5235164111457691
106,156.5897435604172,-41.01496481227674,1030.464515581705,16.965428534582625,0.9138215536116998
107,157.1698755333379,-41.26650972298599,1326.2499491255735,16.69425285901788,-0.3444227641645605
108,157.3353832585433,-41.338531314342994,1410.4754894112123,17.006287568066185,0.16437960942046903
109,158.0562407216711,-41.6459016179681,1774.3910227500037,16.482003009217767,7.966285922283673
110,155.26265909651218,-40.43042011219174,346.8362785810181,18.239028925637523,1.2480580167580817
111,156.12750451644186,-40.81433241186418,793.8680270892905,18.08245439116742,1.936339391350512
112,157.13804119281264,-41.25525739677774,1310.7444775077647,17.972192357988035,-0.11013634491599812
115,155.05700747544088,-40.339872786284175,240.38536906361378,19.11302372736221,2.545350278099449
117,156.02308653028862,-40.76976953463177,740.5323075755515,18.84354033219642,6.25863534943841
118,156.10648074007378,-40.80542184323118,783.1494355226627,18.26346606097871,0.8130967050274569
119,156.2717851882419,-40.88057724853379,868.8048222837805,19.477898091124402,0.8741876856793953
120,156.3274717632475,-40.90476031768906,897.3215626571849,19.336334473528975,0.8714792476069669
122,157.81563951134223,-41.54700260893087,1654.1338984613096,18.300037050419746,0.2646702274927965
125,158.46899352062616,-41.825462604777016,1982.7776656309002,18.984871386386036,-0.4258561734423185
126,155.32392763315352,-40.461103030156636,379.5810657457653,19.890937531358603,9619.923646816367
127,156.30461163691865,-40.89675078249038,886.149371072771,20.36753653374452,35.17852682093085
129,158.1165251292887,-41.678460498199854,1806.5450554485165,20.038164084716723,4.845860449156417
132,155.27507639324193,-40.4422658249899,355.0794835242461,21.423400260044204,0.3266125352588923
133,157.38042939285626,-41.36575301445987,1435.437706956354,20.99542338289343,-0.6575086842643642
134,157.67477846236974,-41.490710316770766,1584.0610978409482,20.296323044926563,9.355215425734228
138,155.96804924095306,-40.75240610352941,714.122657194313,22.372342984092622,8.686424244554592
139,156.99007787469816,-41.20037322346434,1237.937169524163,22.648396633297185,1.5015937329342743
140,157.36585452483806,-41.3613661423006,1428.5562982258243,21.957202894106686,1.2215000333557104
141,157.9634681772284,-41.61680369025992,1730.446049836722,21.768870136348085,1.4160846629981636
143,154.98166152071917,-40.31262322477263,203.05399866998832,22.476403419441073,-0.6774003795905054
145,155.38152532804068,-40.491865434781324,410.89581567145643,22.430669611961534,0.11108949992839076
147,156.22104656320093,-40.864914832218794,844.5872520514611,22.855330796829953,169.28014509886557
153,155.97817488700466,-40.76107733142624,720.5168452288174,24.5026497882481,0.45446662608645977
154,156.58381711971455,-41.02649502518221,1031.3262083843513,24.14647490463764,84.12300528509903
155,156.93773469300646,-41.17930397972253,1211.7145746183683,23.481733625209728,0.15306009203101628
156,157.60795196531987,-41.47001980509752,1552.4070081982632,24.34027954907277,9.943063121953958
157,157.81462145726718,-41.55688400949553,1656.3709614024333,23.565456775582522,0.5152545985028597
158,155.09046164800029,-40.36683948909337,261.21859026199326,25.154945872939432,1.389137578470437
159,155.5126440206762,-40.554285073881765,479.9676098091489,24.40937240310426,0.42961943584798395
161,156.84039271916583,-41.14073762508101,1163.0939447706146,25.37468876740133,-0.31676398170423425
162,158.32324276108614,-41.776712385134594,1913.1243876691894,25.51062338489647,1.3326992940024955
164,156.29531556919014,-40.90294354208419,884.2326433452666,25.58935269688896,1.2939411595477188
166,157.14059444619758,-41.27217451207371,1316.3397178065593,26.02756143016759,2.5195447875964283
169,154.9970264341664,-40.32937295568145,213.8831046078607,27.45444800068094,-0.01968753881709273
171,155.23146595183997,-40.43445693779572,335.774268926886,27.36217746326177,0.7119552921849037
172,155.3224248831099,-40.473774939072705,382.6038122241331,26.65223168010331,22.598878117342025
173,156.01231431213745,-40.780721110662796,739.3821215041561,26.819164064119647,20.633046581774863
175,156.28080163540676,-40.89901025136485,877.4597833474588,26.830754211620597,3.85084637856272
177,157.12573743130366,-41.26821488451506,1309.4554237306324,27.282805131070063,0.23703428756060957
182,155.1998559271383,-40.42051711963383,319.41524190038814,27.47711677177066,-0.04601039186395256
183,155.27813766492181,-40.45631541226135,360.2864800420392,27.84679457965298,0.8790303194253949
190,156.96786573572362,-41.20201159961567,1229.6986383616147,28.386959170176016,0.32177729763086604
192,157.68130681381672,-41.5101112107672,1591.8043646891426,28.769339537858794,7.444717663223061
