candidate_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,flux_A,flux_C,flux_B
3EPOCH-001,7502,6121,7285,155.53526111642586,-42.9632336981278,155.520540286242,-42.971889572220135,155.509196136213,-42.97844332704641,87.81823595688711,2.847616133359251,0.7582101547685894,2.8353360376554115,4.719608325157547,3.381280109799789
3EPOCH-002,6846,5439,6625,154.58258160930131,-42.33310069876902,154.56274671125126,-42.337466113123774,154.54799304090884,-42.341059851655594,96.40043826974942,3.125904776937307,0.765644564525193,3.0210922573502756,1.2741087665200672,1.57043854560385
3EPOCH-003,8245,6719,7773,155.87275501351874,-43.336724313859605,155.8804275832888,-43.320450527319586,155.8860996996873,-43.30885217761553,106.25223291821433,3.445361539850237,0.907403832238336,2.751016560437072,2.081778973547407,1.313675922946158
3EPOCH-004,11354,9750,10961,155.87025563989727,-44.22316218656735,155.87091209247012,-44.23429985352987,155.87088997672618,-44.24294988350937,71.25449792929079,2.310516211888779,1.137468980998853,7.667944283545301,5.885314050437417,7.396133641585837
3EPOCH-005,4680,3207,4353,153.78713081959637,-41.282016748846885,153.8095774655685,-41.28113459731972,153.82526469187323,-41.280535946871574,103.30224194620031,3.3497043930897927,1.427795515644398,2.527021908244257,3.6173643612307003,2.3727908422559434
3EPOCH-006,7842,6455,7602,155.31832452955058,-42.97462771182811,155.3024299953377,-42.98253708341632,155.29156369933588,-42.98759376116567,84.53507794224042,2.741155628556291,2.1240364441938784,2.5114525575136106,2.643245692125859,4.408677089521836
3EPOCH-007,11321,9603,10720,153.02083978678817,-42.949156703104535,153.03544118320826,-42.93626993330314,153.0477975161164,-42.92635696375952,108.55787002244799,3.5201247065678047,2.486630766083694,10.913546208525227,11.483967747622517,6.453002199202611
3EPOCH-008,8578,7160,8292,156.20032299474047,-43.586015959345566,156.20732170147673,-43.60227009314847,156.21330566376477,-43.61319739160443,103.54134875164034,3.3574577303021376,2.568768147440869,2.2154305139779438,3.12185085552366,3.6998649949307354
3EPOCH-009,12933,11041,12257,152.8276332817303,-43.27938326175982,152.83447775777682,-43.26315234662986,152.83827856091713,-43.25200468491431,102.4372733454302,3.3216567044114256,2.6006709036924724,9.60956099203889,7.753460756964716,5.574129674745171
3EPOCH-010,2677,1335,2526,154.3403897714276,-40.9015008900802,154.33907216089224,-40.90024333898998,154.33903384653084,-40.90040260433356,5.407891995387133,0.17535766148945336,2.688287736021059,2.418515402890406,3.1007215352519824,4.003464167690248
3EPOCH-011,9630,8046,9126,156.67173495996485,-44.09391610353882,156.67929283628675,-44.08046886670004,156.68464524875952,-44.069204389050746,95.02076558914337,3.0811671647404784,2.750846526071603,3.2316150261396412,1.4983786776714023,2.229036751304951
3EPOCH-012,11691,9982,11120,155.59239947543267,-44.19580680556235,155.61795832570888,-44.193676760433924,155.63501435963533,-44.19152817971182,111.0688784258896,3.60154729451584,2.988046767140156,2.5238537059976287,3.125752136989883,2.8535400531990867
3EPOCH-013,12667,10795,12023,153.01408189374678,-43.29444356783956,153.03739340125546,-43.29153233206265,153.0528645592934,-43.288519094180074,103.83809137860581,3.3670799811113787,3.20681784246179,2.0948936794389117,2.6703058014454775,3.2230958878139693
3EPOCH-014,6216,4796,6011,156.3426742158269,-42.90912773918416,156.3243791360726,-42.91423122496052,156.30921401751473,-42.91697102338662,92.62943480821326,3.0036252733807136,3.2732604276447006,3.749235331763326,7.232886158161175,3.7937163459165397
3EPOCH-015,11965,10298,11559,156.56980005763,-44.68810846012959,156.5615622736618,-44.69590112783155,156.55696979411718,-44.70287439767328,62.48003053796859,2.0259931326796914,3.3371498299362257,7.098126275038254,5.418942844555908,5.41118361598346
3EPOCH-016,11810,10172,11409,155.48228330141362,-44.181017683057675,155.4674963575856,-44.18770050953945,155.45486275700173,-44.19154546265009,80.29324993611293,2.6036090502907725,3.391152605264978,11.092470122952449,24.400121809045075,9.820826206781527
3EPOCH-017,10569,9012,10121,154.27716678513553,-43.312633529854416,154.25950634495993,-43.30402794293923,154.24698638464247,-43.296015012727096,99.1500754204158,3.2150652004621603,3.506534720513371,5.633747744292101,3.1016105746624896,7.129129468609098
3EPOCH-018,12738,10920,12169,156.35881889093886,-44.78863104898323,156.3774930029326,-44.79515518408688,156.39369976881684,-44.80024259543229,98.42764139647106,3.1916393737024125,3.557889695700484,3.0326954357639053,6.211091312246696,3.1359142103898714
