candidate_id,type,ra_deg,dec_deg,x,y,peak_snr,pixels
CAND-001,A_brighter,157.90717059373995,-42.12131868342908,1847.8334998182988,289.15668931936233,246.39746621637119,7
CAND-002,A_brighter,153.31092969970592,-42.92001736711932,329.4865639079381,1706.5770238365892,237.51097051013062,4
CAND-003,A_brighter,156.29628789193453,-44.63353750279744,1912.046503472219,1903.9534965277812,231.61540341907389,2
CAND-004,A_brighter,157.40979473870854,-41.417882075217356,1466.5062055088565,39.0,221.19536005429242,2
CAND-005,A_brighter,154.22889597083503,-43.35813799736091,796.2108172515783,1718.8793794153953,214.59403952988677,5
CAND-006,A_brighter,156.66487467498274,-43.53344606109691,1751.999295880294,1272.9198595577027,214.55153403686327,4
CAND-007,A_brighter,156.67572622258854,-43.774569306699036,1821.0139914707543,1391.888966113525,212.27735327700753,8
CAND-008,A_brighter,153.09567497737527,-42.899220747724314,243.74068797895708,1744.8340911681362,204.8504673172419,6
CAND-009,A_brighter,155.36221981143873,-44.40204623025656,1506.9730011990146,1989.7033637895352,204.44502968071166,7
CAND-010,A_brighter,155.5555194494622,-42.02041916669002,915.7169929401781,753.9397828245703,203.91194457323388,7
CAND-011,A_brighter,156.32885639292914,-43.058954104223105,1496.8859695265958,1106.9189314421465,202.4898687543477,6
CAND-012,A_brighter,156.99725648120187,-44.007365207172064,2003.139289494331,1439.962048873007,202.27074911172173,4
CAND-013,A_brighter,154.83181204260535,-42.815454700996916,866.0252913403756,1314.1251520408919,198.64912990460718,4
CAND-014,A_brighter,155.97330415466877,-41.168109310128806,838.0782705285415,229.99999999999997,197.5549316743991,2
CAND-015,A_brighter,155.3020087743085,-43.58921849449312,1259.081780325714,1597.3592654459121,196.49425350196375,5
CAND-016,A_brighter,154.63436302471365,-43.1941249670797,899.7975063953701,1547.175031554067,194.82551785129397,6
CAND-017,A_brighter,154.36211696203623,-42.93402318508799,724.1607558306864,1477.903808146808,193.00381566383115,3
CAND-018,A_brighter,154.81663903089748,-40.87185742037505,305.0430054313763,340.64343003173127,191.32299434772875,6
CAND-019,A_brighter,156.07028562572663,-44.14253284469454,1695.9231581074923,1706.99038272595,191.2717559405694,5
CAND-020,A_brighter,157.48855520584866,-42.07629629780831,1673.9639815277455,357.0368540224973,190.58431966616428,5
CAND-021,A_brighter,155.3335809999914,-42.610310101571784,996.9694611575012,1099.9835701158072,190.09002844187214,5
CAND-022,A_brighter,154.47566434712974,-43.261106344131996,859.8980385499617,1615.7722961920151,189.10309271354254,5
CAND-023,A_brighter,156.82180789891726,-44.119938756435765,1967.9668203695187,1534.1077122179665,187.9666449813795,4
CAND-024,A_brighter,156.66306914271283,-41.52912949743578,1206.0,259.91323119793634,186.01621506889853,2
CAND-025,A_brighter,156.58497014333514,-41.202694287800846,1085.8809337337993,111.37853038988703,185.69896709017797,6
CAND-026,A_brighter,153.9718985763071,-43.58980834993383,767.9787106735421,1891.102801584657,183.62515398017945,4
CAND-027,A_brighter,154.5814346396388,-40.93093405464319,231.02042326831815,423.8682862318276,183.14054946867927,4
CAND-028,A_brighter,156.40809449978548,-44.22534646029192,1843.109345039863,1675.7171332358357,181.68300719731866,5
CAND-029,A_brighter,156.447077742652,-44.55854980703112,1947.167915529124,1834.1959838855369,181.22571180555008,6
CAND-030,A_brighter,156.8129853180914,-42.28826764440222,1471.066852355957,611.9551076307577,181.00004371546677,5
CAND-031,A_brighter,155.12734674022843,-41.07921205379079,484.77292034112287,375.0022583701264,179.9735654702314,4
CAND-032,A_brighter,155.51252184148524,-41.1540055013056,655.2230785674711,326.07958545768304,179.49021095236145,5
CAND-033,A_brighter,153.38642185535048,-42.305990693533936,177.17780390104983,1384.2379979670197,179.0991991791677,5
CAND-034,A_brighter,155.42367604428665,-41.27806704595389,655.8967888534698,408.7479467383551,179.01528030899144,5
CAND-035,A_brighter,155.72147950104943,-44.10027133879387,1555.6923344661916,1761.308675100055,178.63474458798837,5
CAND-036,A_brighter,157.89014425621227,-41.995848541949755,1807.9999999999998,228.90417392837824,178.28131622395276,2
CAND-037,A_brighter,155.44060027922166,-43.59542227154834,1312.255200425972,1570.1222591483606,177.83949431406575,5
CAND-038,A_brighter,153.54565332476386,-43.130352443894246,477.81408827016946,1758.1993772407293,177.65432350989727,5
CAND-039,A_brighter,155.80150354888548,-42.53565703049021,1153.2385541347662,959.0285997622739,177.36444107584657,7
CAND-040,A_brighter,155.7994559417172,-41.65807660343503,907.8019856880985,516.7658486588217,176.8474818168973,7
CAND-041,B_brighter,154.03770184114455,-42.019691412749005,338.5204376608336,1093.8834461692145,-176.72802231543594,4
CAND-042,B_brighter,154.81061801650418,-40.287886355397816,134.52359789613334,46.96238060792249,-176.05267370743186,4
CAND-043,A_brighter,155.97323358078202,-43.06560417021937,1364.750921781172,1187.929869237987,176.01334984154383,5
CAND-044,A_brighter,158.0937272519773,-41.7786420934286,1829.659719459512,73.99040125999721,175.96520968821375,6
CAND-045,A_brighter,154.117149313833,-41.636472239888604,257.3209326331991,883.9662025129708,175.47004348935388,6
CAND-046,B_brighter,153.32524477732034,-42.9216279147649,335.2582831023809,1704.1502340757938,-174.89061999741068,7
CAND-047,A_brighter,154.69192236890837,-41.00038973999318,293.7617536149557,433.7796279037996,174.2169475253667,6
CAND-048,A_brighter,154.77471641726336,-40.95530114343546,312.80078283648584,392.25704044942427,174.00373870128396,6
CAND-049,A_brighter,154.1041290487049,-41.73460352922387,280.8835896522224,936.1049532812074,173.17676167154457,3
CAND-050,A_brighter,154.3643933558988,-42.02535856893658,463.81743028224133,1023.016286599882,172.37864441862206,4
CAND-051,A_brighter,155.33447036352,-43.18077774841139,1157.136630238109,1385.885508084429,172.378371024766,3
CAND-052,A_brighter,156.3043512930207,-43.493659167063214,1606.2303803157909,1330.9446964312342,172.36867682995103,5
CAND-053,A_brighter,155.79033523236035,-42.71929807042751,1200.0033775693728,1053.9136157854944,172.009030946777,4
CAND-054,A_brighter,155.91227326512512,-42.85982456512382,1284.990873617338,1097.8052215259236,171.93667303647982,4
CAND-055,A_brighter,152.8819651502567,-42.977440652279746,187.9748610682362,1831.8989420356063,171.76942262602387,5
CAND-056,A_brighter,154.53288600081626,-42.36690704073849,625.6987192582977,1156.2639283220549,171.13250777826738,4
CAND-057,B_brighter,153.55875371476742,-41.57657373076614,27.521074636632616,981.0000000000001,-171.0435465953054,2
CAND-058,A_brighter,152.6750394815645,-43.22437675063481,185.18425645432632,2000.7902675944226,170.66205214819627,4
CAND-059,A_brighter,152.91639035324616,-42.6036956074835,89.92592878581102,1638.879196098421,170.61207325593057,3
CAND-060,A_brighter,155.07017108157854,-42.602086656869034,895.2489046040323,1154.2809804784445,170.49800755554787,4
CAND-061,A_brighter,155.7553211631162,-43.23894928866317,1330.8015921438443,1322.6830743269215,170.46500021545086,5
CAND-062,A_brighter,156.21074936976916,-42.39477261566949,1269.9154301768283,797.8746387637581,170.38406674048468,3
CAND-063,A_brighter,153.9835095013878,-42.671440286128586,507.1706449427142,1431.626285479528,169.44710079846,4
CAND-064,A_brighter,155.64464999235003,-44.33514648145668,1591.9755930252566,1895.1950113964667,169.08661197455413,4
CAND-065,A_brighter,155.16328692724315,-43.66586684319904,1229.069983120613,1666.044541037847,168.75790437588432,5
CAND-066,A_brighter,158.1189480524617,-42.24797597946102,1963.1703915734363,307.98080014200417,168.1101130920554,5
CAND-067,A_brighter,153.8905581537074,-43.11629733959732,601.3395231076712,1673.9793802215756,168.1066284358588,74
CAND-068,A_brighter,154.8278111741242,-40.6315158680945,240.24796036251533,216.7481245302453,167.26150573447782,4
CAND-069,A_brighter,155.60218459190583,-42.8532890415842,1166.2395706427249,1162.69351219467,167.06719957317898,4
CAND-070,A_brighter,155.88959695135378,-44.39523974197535,1698.3046596132735,1872.282077891009,167.0456310586955,5
CAND-071,A_brighter,156.76713060039896,-43.54338479700171,1793.0,1255.8541030765623,166.67296249457624,2
CAND-072,A_brighter,157.3652448593224,-41.43255206934298,1453.065825328421,56.245226324257516,166.6435797194907,5
