candidate_id,ra_epoch_A,dec_epoch_A,ra_epoch_B,dec_epoch_B,separation_arcsec,motion_arcsec_per_day,flux_A,flux_B,flux_ratio_B_over_A,source_A_id,source_B_id
MOTION-001,155.04991462871834,-44.06273369667274,155.0356068087228,-44.03118049689775,119.47259356368717,3.8740482682121926,20.679017464458333,11.638501739922274,0.5628169597480019,13646.0,12896.0
MOTION-002,157.18875250492346,-41.24717495480796,157.2255120977242,-41.265250127052965,118.87570114660147,3.8546932850671487,1.3613598627921564,2.379654104832086,1.747997843826101,21.0,36.0
MOTION-003,155.7262022202337,-43.86110888726276,155.7112722853322,-43.891830100888,117.18618154539215,3.7999084989506033,1.485795959227182,1.6744744768708255,1.1269881752416275,11647.0,11238.0
MOTION-004,153.5827483613207,-42.32717332230667,153.5454030128938,-42.31019682857016,116.69283633004252,3.783911163326202,3.363050991868493,2.702564065208664,0.8036048432638049,9491.0,9012.0
MOTION-005,156.2004290507783,-41.43022357047079,156.1705842403382,-41.40677739932252,116.68731654388003,3.7837321773564003,0.5172886289271887,0.5242207035849562,1.013400786853065,2060.0,1956.0
MOTION-006,156.4267131092035,-44.86233305296409,156.4580590396828,-44.88580967581817,116.35270248628196,3.7728818980438796,5.741157874475008,6.9149537966523,1.2044528208144125,14540.0,13880.0
MOTION-007,155.91215484290325,-44.71858022241607,155.95717376687838,-44.71721137216088,115.26771041478933,3.7376996731485166,2.8703626194521066,3.2932274298563566,1.147321041438648,14862.0,14066.0
MOTION-008,156.1733344996209,-41.13670567305349,156.21547622362348,-41.138940590396814,114.54032401417514,3.714113259381427,2.149253948802325,2.106535245747075,0.9801239387839418,1137.0,1041.0
MOTION-009,157.6090987420098,-41.577640415983126,157.56714875720908,-41.58260233082325,114.3707678436835,3.708615188492828,8.280501207124699,5.2807259334034455,0.6377302292836827,528.0,600.0
MOTION-010,154.80768624066852,-42.04054161540883,154.8182371914849,-42.07097053555335,113.11626775296578,3.6679364540739066,3.432248086484455,2.8846444159616262,0.8404533539754342,6464.0,6214.0
MOTION-011,154.98811734329723,-40.62705212619458,154.99835687506007,-40.657303705307946,112.44027521858217,3.6460165506965923,3.607311015955257,6.967618684237007,1.9315270165003788,1192.0,1216.0
MOTION-012,156.934959339663,-41.385763202829146,156.95326774349735,-41.41364154539032,111.8788390004052,3.6278112791455004,9.873814804105026,13.85984733997462,1.4036973160781188,865.0,907.0
MOTION-013,155.81041262414476,-43.750920978718185,155.85304105691722,-43.75281110072791,111.06086144403032,3.6012873338523796,1.5091515835197915,2.2019257130744827,1.459048737794076,11068.0,10481.0
MOTION-014,157.44989482616458,-42.274894613914384,157.44858167752056,-42.24413638447119,110.78488702104954,3.5923385180317067,0.7813232054436514,1.4412765910098522,1.8446611862647362,3129.0,2880.0
MOTION-015,153.9420327507931,-42.3803213302636,153.90150858541,-42.37676382434552,108.52618137759137,3.5190971626259944,10.187142861856818,7.174572634404316,0.7042772180281961,9098.0,8719.0
MOTION-016,156.43995317299897,-41.19667124978198,156.40759876933404,-41.21396176626092,107.48835975538447,3.485444498543829,70.61758187274025,53.26424966455311,0.7542632904159827,957.0,1008.0
MOTION-017,157.37392728717407,-41.81005137774803,157.33693528321433,-41.79946371611872,106.33459917463772,3.448032368728544,3.2681792565479,2.9923108495852286,0.915589572876102,1634.0,1587.0
MOTION-018,155.6868079908933,-42.11632604919383,155.72082102563843,-42.131603373214375,106.17338000168856,3.4428046354121715,0.5343974364816652,0.5319376371113631,0.9953970599363337,5344.0,5049.0
MOTION-019,153.65808613136568,-42.25933066007237,153.69775504762512,-42.258287701442455,105.76104661337116,3.4294342095991124,1.6435721731458954,3.188418207347595,1.939931972226551,9134.0,8622.0
MOTION-020,154.7965037137295,-42.4551996806837,154.8348159456319,-42.46273209345648,105.30616752061653,3.41468418610864,1.2544263996006693,2.3113671461191583,1.8425689596894268,7988.0,7565.0
MOTION-021,155.61768428930995,-42.033424720375,155.57854722981213,-42.03659388034311,105.26667408486189,3.41340356206067,14.763072274864577,9.131130736988444,0.6185115514563316,5134.0,4939.0
